site,plot,_TYPE_,_FREQ_,aspect,SlopeDeg,PlotYOD,avgdbh,avgheight,avgscorch,OL,Litter,Ashdepth,PCntcover,PercentGravimetricSoilmoisture,DOC_fum,TDN_fum,DOC,TDN,MicrobialBiomassC,MicrobialBiomassTDN,MONTH,EFFLUX,RHcmbr,Tsoil_C,Tair,Status,BB,BURN,YOD,SampleDate,SAMPLEIDPLOT,GalleryNumber,pH,BG_4C,CB_4C,NAG_4C,PHOS_4C,XYL_4C,AG_4C,LAP_4C,BG_15C,CB_15C,NAG_15C,PHOS_15C,XYL_15C,AG_15C,LAP_15C,BG_25C,CB_25C,NAG_25C,PHOS_25C,XYL_25C,AG_25C,LAP_25C,BG_35C,CB_35C,NAG_35C,PHOS_35C,XYL_35C,AG_35C,LAP_35C,plot1,merger
FEF,105,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2009.6666667,09/22/2012,FEF105,132,4.37,21.16547645,3.175641995,23.20676559,80.25378503,3.066565476,3.292509694,1.130200727,52.3831489,16.54608928,67.30689175,252.2140733,16.34532144,27.75562707,2.469275378,165.631361,42.89528756,220.2402138,776.9025143,41.3168912,39.22861954,4.198578412,203.9110961,82.51347486,305.7673141,974.4580699,71.13663053,51.34059516,4.573301742,105,105
FEF,106,7,12,,,,,,,,,,,,,,,,,,7,3.003172661,26.47333852,10.652404404,30.957327683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,106
FEF,106,7,12,,,,,,,,,,,,,,,,,,8,4.1632617748,68.160107757,11.531661962,24.364670436,UBN,NO,UNBUR,0,08/26/2013,FEF106,62,4.44,60.752497,40.56364305,24.68058159,93.41466882,10.03454339,8.353460504,0.819059408,324.346585,133.2430119,94.78953986,522.3843907,52.79621476,47.02576939,2.289649348,1199.822171,444.7181774,317.4774325,1519.47575,185.1936093,131.0774998,5.379502146,1440.920107,626.0750318,465.8603134,2092.83496,241.8312579,232.9088886,8.557110197,106,106
FEF,106,,,,,,,,,,,,,,,,,,,,9,,,,,UBN,NO,UNBUR,0,09/22/2012,FEF106,133,4.63,23.46485043,16.48075511,15.90203535,31.27099088,3.748920321,2.499411741,2.073726098,681.9194338,314.1651709,415.6029242,1192.726939,95.57077044,115.8130869,3.275477639,2232.362953,924.6414596,1273.397347,3558.630479,139.8276268,67.90520636,7.719251199,2944.349681,1235.852939,1567.872163,3925.9324,176.0150081,218.9875235,16.54271993,106,106
FEF,107,7,12,,,,,,,,,,,,,,,,,,7,4.5722916892,19.961811096,10.799227588,35.326398848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107
FEF,107,7,12,,,,,,,,,,,,,,,,,,8,8.9224475223,77.571956757,10.903365516,30.495571612,UBB,YES,UNBUR,2005,08/26/2013,FEF107,63,5.01,45.84102681,29.80418388,13.47285643,51.43719792,4.145904569,11.42187972,1.916408442,100.8861333,29.39496878,21.6864749,214.4670388,22.57329278,9.06637429,4.601944029,370.34571,38.63034484,16.71002595,696.5127787,104.6641686,88.47405751,14.12049992,405.0907798,164.4220504,150.596787,804.3862152,64.73462502,12.25319763,23.82867809,107,107
FEF,107,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2005,09/22/2012,FEF107,134,4.6,15.35131757,6.55314636,3.738799637,27.14006593,1.444810456,0.786873188,0.491039995,36.0100206,13.87260963,22.12519682,118.159768,6.428172529,2.283289766,1.330141129,183.9295138,11.87238593,8.736692015,340.4011868,0.482968948,19.58547212,2.759315027,274.6424761,22.21657161,15.44058935,369.9402092,21.56780735,10.935282,3.781160678,107,107
FEF,108,7,12,,,,,,,,,,,,,,,,,,7,3.0930590953,36.494460623,10.221852302,33.527106921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,108
FEF,108,7,12,,,,,,,,,,,,,,,,,,8,4.0408925971,68.604348868,10.816344962,29.119086265,UBB,YES,UNBUR,2005,08/26/2013,FEF108,64,4.02,72.19180655,49.69474722,27.72984778,126.5918513,20.45256129,17.11325798,1.0576918,174.8664959,60.94904544,40.93174325,333.0606279,32.00570563,22.01914869,2.22667453,693.3947429,204.7604657,154.1206681,975.5149641,67.42321356,86.24743151,5.548757623,371.7854462,488.0114497,168.7935027,1243.480472,377.2335401,243.2507862,18.91368114,108,108
FEF,108,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2005,09/22/2012,Plot108,141,3.96,23.02619739,2.925165048,6.616822986,58.16464324,3.71043214,2.807826287,1.62457668,77.68018927,5.283444005,5.76575618,414.8956764,4.050868448,101.5851082,2.458404521,391.0538886,23.34729503,38.80267059,859.7573556,54.48533108,24.93828958,15.53217644,1051.920165,351.0353035,55.74443846,943.7413437,496.1576779,248.7851225,32.09924008,108,108
