site,plot,Status,BB,BURN,YOD,SampleDate,SAMPLEIDPLOT,GalleryNumber,pH,BG_4C,CB_4C,NAG_4C,PHOS_4C,XYL_4C,AG_4C,LAP_4C,BG_15C,CB_15C,NAG_15C,PHOS_15C,XYL_15C,AG_15C,LAP_15C,BG_25C,CB_25C,NAG_25C,PHOS_25C,XYL_25C,AG_25C,LAP_25C,BG_35C,CB_35C,NAG_35C,PHOS_35C,XYL_35C,AG_35C,LAP_35C,year,YSD,Carbs,Cellu,BURNIND,month,efflux,Tsoil_C,RHcmbr,MicrobialBiomassC,MicrobialBiomassTDN,PCntcover,PercentGravimetricSoilmoisture,SlopeDeg,aspect,avgdbh,avgheight,avgscorch,UNH_SampleID,UNH_ShortName,day,Aromatic,Lignin,Lipid,Polysaccharide,NBearing,Protein,Phenol,Unknown
HP1,17,MBB,YES,MOD,,09/11/2012,HighPark,117,7,19.63808244,2.883794255,21.90623153,9.635637791,1.394251399,3.450057943,2.017425415,36.86504378,3.476564421,37.64023501,14.80579771,4.385378767,5.580819177,4.084804081,95.37202532,4.668509391,71.60412942,43.04478509,9.084648028,5.97370661,11.35927728,134.8702929,8.565137634,112.4382061,56.46054794,14.05213124,10.82905066,15.35525288,2012,,42.445862957,7.861943188,YES,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,18,UBN,NO,UNBUR,,09/11/2012,HighPark,118,4.11,27.23188469,16.89660859,16.12989671,25.80068919,1.633930815,1.710602003,0.734869186,86.84589642,16.10512592,32.77602508,63.53265319,12.45684064,41.83806937,1.335298652,352.8829684,190.8734835,84.95591693,181.6880726,130.0699006,70.49980746,17.54183381,607.8108755,250.5364232,312.3888683,551.4526629,418.2087141,422.1210676,35.77583819,2012,,128.68396579,28.56196656,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,19,UBN,NO,UNBUR,,09/11/2012,HighPark,119,5.35,5.932210451,2.756927178,4.334610489,9.931189519,3.126807846,0.709721499,0.745040768,77.46333796,13.00554917,60.75397538,138.0929756,10.86585167,0.782320406,1.031606834,257.6251356,49.33214451,151.1094156,458.499609,24.98521146,17.63367142,3.146792785,339.3519981,110.949474,225.5631942,568.2239086,51.08932131,27.39787288,4.898419564,2012,,78.245658366,23.87140084,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,20,UBN,NO,UNBUR,,09/11/2012,HighPark,152,4.21,25.23715692,26.22229799,89.99021333,114.1394823,31.18794151,28.60527437,1.160652839,13.08616544,,95.21619338,195.0699038,20.47749834,23.28219832,1.765694238,123.0087725,60.48433946,449.2818247,804.2048866,102.2796478,141.884073,9.232283668,73.70161085,5.560091162,398.0418835,787.8514593,47.31347332,97.58454544,0.967433061,2012,,36.36836376,20.47749834,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,21,UBN,NO,UNBUR,,09/11/2012,HighPark,120,5.78,37.60322129,13.1226283,27.41520263,60.39838896,8.284367592,4.951250376,1.771422389,64.91729479,20.30845991,40.02438693,79.20824189,9.823407688,3.875814472,2.956820499,126.6987065,14.9456839,83.09781154,262.5712035,35.20411717,152.8196449,9.659533674,190.6375324,25.81511194,108.0994931,299.419383,45.85785507,13.67228193,11.96835356,2012,,68.793109262,30.131867598,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,22,UBN,NO,UNBUR,,09/11/2012,HighPark,153,4.71,30.4849353,17.78912569,26.76611472,52.40159103,6.030641759,5.405757972,1.026200761,51.08821229,14.2060112,27.06245883,102.9838398,0.722399716,12.60677374,1.20890927,284.4855278,68.33077738,151.9956275,438.126334,76.14395013,51.27966897,6.369185755,312.0113115,60.85954059,187.2679026,520.1304486,64.31752009,15.45246902,3.836594587,2012,,63.69498603,14.928410916,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,23,UBN,NO,UNBUR,,09/11/2012,HighPark,121,5.53,14.51192787,6.176873497,20.95917523,70.42119104,5.945037548,1.806066046,1.275531363,14.82618206,7.974061717,21.62063793,48.30462878,5.783508179,4.414412218,1.984668637,31.91918964,20.73627027,43.75186993,140.9345453,11.57834322,8.945937996,6.852014119,39.51795918,12.51033866,60.93485335,168.0978253,17.09231248,22.42532422,8.935314653,2012,,19.240594278,13.757569896,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,25,UBB,YES,UNBUR,,09/11/2012,HighPark,154,5.28,33.23909585,6.838745679,32.33952836,107.0427414,6.946302662,1.587284657,1.018094466,44.21209889,7.367722329,70.72983797,176.0049003,15.70462496,0.925482715,2.281951035,170.5574061,45.45354112,258.3951558,729.5681776,90.75475804,17.18568819,9.132584025,367.5018283,55.72780837,342.1721809,772.8605821,56.80639844,77.20293796,11.89200426,2012,,45.137581605,23.072347289,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,26,UBB,YES,UNBUR,,09/11/2012,HighPark,122,6.23,15.89231569,3.849159032,9.406171743,44.81495904,1.618842617,0.729292657,3.501274826,33.16761854,4.976041751,13.17083355,105.5040318,4.738811854,3.292288089,7.005642849,113.4152138,13.26751597,34.00924083,371.9914593,20.64478717,6.393635041,23.64061647,176.5616628,17.41932111,49.92917736,506.2415518,22.28335378,11.00890032,32.99057522,2012,,36.459906629,9.714853605,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,27,UBB,YES,UNBUR,,09/11/2012,HighPark,123,5.05,14.75075371,6.451791775,7.464004679,25.84366004,5.00746459,3.73775893,1.045356328,106.3500105,47.97772474,54.8421887,207.0774994,29.91590822,10.00409432,1.774569885,480.0713394,163.2111007,195.2452659,698.2011324,93.78751485,219.5138137,9.413297884,596.4558392,155.0633688,256.3885705,931.6260817,85.48979065,75.97873615,8.426246529,2012,,116.35410482,77.89363296,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,28,UBB,YES,UNBUR,,09/11/2012,HighPark,124,6.54,23.36211225,5.468028489,7.232474041,35.48065064,4.552318997,1.839286086,1.807732719,71.97337123,8.554174997,13.76551036,80.10793493,9.595390009,6.021572852,2.970363833,380.8886638,30.28154553,53.23915514,312.6161254,26.28108891,14.55856558,11.03005915,409.3941916,34.31316671,55.25150571,360.1434385,32.61575222,18.54539608,13.29173543,2012,,77.994944082,18.149565006,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,29,UBB,YES,UNBUR,,09/11/2012,HighPark,125,5.69,24.9454627,10.021818,9.846413031,38.17431611,2.832584463,1.101290172,2.015687924,69.4608898,20.11391642,31.15700009,93.52729597,12.87231312,12.98794751,3.849177566,239.8651908,17.53778475,53.34545022,279.9618746,24.25287194,41.81290625,16.20481023,211.6048652,42.52201559,71.35203936,345.7306522,15.26326864,50.19328714,16.09701097,2012,,82.44883731,32.98622954,NO,9,,,,,,,,,,,,,,,,,,,,,,,
HP1,30,UBB,YES,UNBUR,,09/11/2012,HighPark,155,6.02,16.81628621,1.618568549,5.22559157,28.75821402,1.067092618,1.156110387,1.792367372,31.58334749,8.51186902,15.73068401,47.69135587,25.36995455,24.71031352,7.125575252,82.79578466,8.818691312,29.96202608,133.6433848,16.47938339,52.97785046,48.92722033,104.4502983,10.98383687,39.9985939,163.57965,16.82690068,52.81525452,44.99105124,2012,,56.29366101,33.88182357,NO,9,,,,,,,,,,,,,,,,,,,,,,,
LSP,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,8,2.6318295,15.38734722,72.78875732,,,,,,,,,,,,,,,,,,,,
LSP,17,UBB,YES,UNBUR,2009,08/13/2013,LSP017,156,4.09,36.30421636,15.28320196,17.22234,60.56554939,7.223462058,4.096838822,0.734742896,88.56293195,28.02930622,34.89300904,137.0019272,14.5437932,6.540111379,1.232989175,437.2511297,78.686682,118.4971425,723.5007974,39.24066827,31.27953793,10.85328758,589.5365356,277.2089314,148.4117242,1566.862103,65.82235198,9.301581259,41.98957185,2013,4,95.103043329,42.57309942,NO,8,1.6737568676,14.378638982,34.431428592,429.9572177,7.501991518,7.625,26.44836272,15,190,15.7375,8.75,0,37533,0813LSP-,13,0.081422368,0.424680202,0.029314634,0.233983101,0.021870672,0.038475531,0.015139068,0.155114423
LSP,18,UBB,YES,UNBUR,2009,08/13/2013,LSP018,157,4.42,43.24366218,17.86032461,27.15231928,58.01141654,3.260538344,2.293042153,0.235266015,89.85074746,27.91477318,60.33109305,157.0007196,11.16678014,1.363500889,0.679280635,302.2625831,100.7058821,434.8158194,609.0984557,75.53267729,56.59391663,2.424125671,374.5942259,121.0916615,224.9248598,655.7090357,79.47112158,44.97987232,2.065569158,2013,4,91.214248349,39.08155332,NO,8,3.1701235177,14.31879401,42.63916111,305.2176128,8.554817467,23.75,12.80353201,12.6,200,28.83333333,16.86666667,0,37534,0813LSP-,13,0.113636602,0.261827737,0.043862321,0.239567469,0.030941352,0.083936405,0.025033173,0.20119494
LSP,19,UBN,NO,UNBUR,0,08/13/2013,LSP019,158,4.42,32.16667358,12.25325636,9.708852877,43.56325905,4.801028586,2.927325603,0.311908671,71.19387651,17.28772575,22.22455177,88.99637033,13.7222403,6.179080438,0.721355632,224.30459,72.85204877,68.36007459,298.1486778,71.99793412,34.164195,2.884917454,319.3196786,82.66173308,79.63081978,365.5245935,68.68542732,27.85822463,2.350463695,2013,0,77.372956948,31.00996605,NO,8,1.3699446568,14.352676628,34.256037235,233.8523276,21.98394994,3.5,13.75545852,16.7,230,19.275,11.525,0,37535,0813LSP-,13,0.090382014,0.3112801,0.028641137,0.262621659,0.021818977,0.061634799,0.018895195,0.204726119
LSP,20,UBB,YES,UNBUR,2010,08/13/2013,LSP020,159,4.41,30.66239674,12.56568477,14.03658716,42.56286834,5.518678549,3.484015662,0.405173289,65.98698316,20.48756276,34.61124533,92.50914278,16.32406675,10.55037893,0.703252537,240.4772586,74.4439652,129.8340775,296.2128985,65.46856128,46.1834578,2.568802268,314.2864772,115.9433311,140.042133,368.2000724,85.3043017,50.28006025,2.468548657,2013,3,76.53736209,36.81162951,NO,8,5.923282981,16.70347309,39.020106475,495.6616298,22.39178388,56.25,8.704883227,13.7,219,30.73333333,11.8,0,37536,0813LSP-,13,0.142437719,0.417750427,0.016183081,0.182892217,0.024968549,0.056068655,0.014968309,0.144731043
LSP,21,UBN,NO,UNBUR,0,08/13/2013,LSP021,160,4.15,43.0923282,16.52435142,12.91297052,64.54817944,9.815543253,5.560007123,0.456993229,92.50324384,23.63492144,19.33832378,145.0751851,17.00588506,33.21019621,0.490932407,373.0892424,57.44076402,114.9828489,652.4258355,82.8847608,39.41489362,8.482539682,377.2345938,374.9273176,372.3506473,1305.289328,133.6405528,182.128193,31.77975905,2013,0,125.71344005,40.6408065,NO,8,2.1566706399,14.822271348,32.872381369,1314.937597,42.09829474,5.5,27.2264631,14,165,33.45,15.7,0,37537,0813LSP-,13,0.07442074,0.442862923,0.015444346,0.231627842,0.01411232,0.054049764,0.015436565,0.152045501
