Year,Month,Day,Site,Plot,SAMPLEIDPLOT,DOC_Final,TDN_Final,Biomass_C_final,Biomass_N_final,NO3-,NH4+,DIN,DON,ug PO43- P g-1 dry,%C,%N,Soil moisture (%)
2013,7,21,LSP,27,LSP27,342.2241077,117.5169823,303.4082762,17.58068355,37.54683551,35.41545366,72.96228917,44.5546931,8.400834112,0.6075,10.7171,9.819639279
2013,7,21,LSP,28,LSP28,106.7917695,42.8648301,421.9586165,0,9.846746859,22.53904774,32.3857946,10.4790355,4.307515122,1.1083,15.6789,2.19123506
2013,7,21,LSP,29,LSP29,165.2970719,83.29411474,0,0,19.68992643,36.49220886,56.18213529,27.11197945,0.343643122,0.2709,3.2948,0.998003992
2013,7,21,LSP,30,LSP30,277.5822984,80.07924054,497.2018171,9.217557356,53.73815015,26.71491294,80.45306309,0,10.47975546,1.0293,17.4667,17.8
2013,7,21,LSP,31,LSP31,153.3612713,82.86281902,182.7085319,0,24.6475657,45.68492585,70.33249155,12.53032747,8.950073118,0.5942,7.2968,1.8
2013,7,21,LSP,32,LSP32,628.6210261,143.7262653,180.2550522,0,40.19620414,69.23378786,109.429992,34.29627329,8.463379325,0.9144,16.4293,9.233791749
2013,7,21,LSP,33,LSP33,367.4912949,86.8727085,259.4479823,0,24.97369724,19.72746589,44.70116313,42.17154536,1.593997657,0.6079,12.0702,19.16996047
2013,7,21,LSP,34,LSP34,183.689583,74.95604065,162.2218266,4.665479033,22.63711291,43.26234276,65.89945567,9.056584981,1.123995929,0.6633,8.7924,1.176470588
2013,7,21,LSP,35,LSP35,82.34851711,23.45974776,314.9724732,18.44747108,3.940993042,14.83363916,18.7746322,4.685115558,1.28777974,0.9009,12.6985,3.585657371
2013,7,21,LSP,36,LSP36,393.5528764,116.5595478,651.6560491,0,17.17241745,55.04847459,72.22089204,44.33865577,5.663297797,0.8143,15.0859,9.578544061
2013,8,4,SPR,37,SPR37,214.4299747,44.23150836,538.7764771,21.71473844,29.18347178,2.630711649,31.81418343,12.41732493,31.2552046,0.5728,7.3236,21.25984252
2013,8,4,SPR,38,SPR38,209.697633,20.57475292,782.0459191,27.0825738,5.152570282,6.561519099,11.71408938,8.860663541,4.253263403,0.6172,15.772,36.72654691
2013,8,4,SPR,39,SPR39,193.8347131,23.33686962,830.0695907,1.697960824,0.692706224,4.242005704,4.934711928,18.40215769,3.840793191,1.0353,19.7774,5.394990366
2013,8,4,SPR,40,SPR40,172.7740841,18.75720021,331.390419,17.96780881,1.229583051,3.948104122,5.177687173,13.57951304,0.481418514,0.6127,15.0187,2.935420744
2013,8,4,SPR,41,SPR41,343.4620182,34.80430739,979.6052471,28.6720306,4.289101669,18.43706794,22.72616961,12.07813778,14.22105459,1.2235,32.7104,11.17764471
2013,8,4,SPR,42,SPR42,405.1506047,59.8343129,988.5728457,72.95319787,11.7580979,16.74964544,28.50774334,31.32656956,14.17777424,1.123,25.7834,7.584830339
2013,8,4,SPR,43,SPR43,340.0473108,47.21765316,879.8031495,3.458616434,4.253797246,13.79957129,18.05336854,29.16428463,45.09525673,1.1123,20.8586,17.58893281
2013,8,4,SPR,44,SPR44,305.1255799,84.86831243,901.7833362,15.30639233,4.42490124,44.24531154,48.67021278,36.19809965,12.50320136,1.1661,27.8173,3.578528827
2013,8,4,SPR,45,SPR45,245.6497705,23.94532832,490.0197241,12.21574067,0.742244877,9.979891612,10.72213649,13.22319183,4.60448362,0.8413,20.9195,12.99212598
2013,8,4,SPR,46,SPR46,146.7431992,43.84605031,493.1698443,28.08869715,18.25523696,28.49745612,46.75269308,0,21.51432772,0.4998,6.8133,13.63636364
2013,8,4,SPR,47,SPR47,321.9511237,66.33249794,680.5587953,0,21.1495869,6.91807182,28.06765872,38.26483922,10.42824092,0.7506,13.7175,24.6
2013,8,4,SPR,48,SPR48,183.6416083,69.44958357,71.62036723,0,14.91899583,14.40343093,29.32242676,40.12715682,22.02610488,0.9282,13.3328,3.149606299
2013,8,4,SPR,49,SPR49,303.1122646,21.84828008,343.1017454,16.3903497,1.959209028,11.26748776,13.22669679,8.621583289,1.6584758,1.0643,23.9076,12.6984127
2013,8,4,SPR,50,SPR50,1236.080874,148.2298012,865.2512991,0,7.609616731,44.86534766,52.47496439,95.75483686,48.43214906,1.4029,26.3923,15.15748031
2013,8,4,SPR,51,SPR51,541.7079022,102.3441664,955.0693727,23.36769213,4.842589955,90.41419023,95.25678019,7.087386238,44.74354575,1.3854,22.951,19.8
2013,8,4,SPR,52,SPR52,173.1890125,17.17235156,193.0061371,16.82412645,2.297855159,8.009435751,10.30729091,6.865060645,0.05801126,0.6709,15.0472,7.543520309
2013,8,4,SPR,53,SPR53,629.1487512,65.87375375,1778.913275,48.98354747,11.27665836,19.61834383,30.89500219,34.97875156,24.8596988,1.408,37.3374,2.923976608
2013,8,4,SPR,54,SPR54,247.7056843,86.33042065,270.6386993,0,1.122953808,54.16208061,55.28503442,31.04538623,35.16759093,0.6215,7.2799,1.593625498
2013,8,4,SPR,55,SPR55,108.2884472,38.54271793,409.6414531,25.50295073,5.0144252,28.69814605,33.71257125,4.830146684,4.227180016,0.512,9.6367,5.620155039
2013,8,4,SPR,56,SPR56,296.3405085,97.74869839,498.0994363,29.80204083,19.16275387,51.00893823,70.1716921,27.57700629,18.51703194,0.9996,22.107,2.554027505
